,id,language,date,texte
0,1305465146802868224,fr,2020-09-14 11:15:20,"worldissmall : Playstation 5 : un événement consacré à la console le 16 septembre, le point sur les rumeurs… https://t.co/2ODARxzRWH"
0,1305459136524582912,fr,2020-09-14 10:51:27,#PlayStation5 Un showcase aura lieu ce mercredi. Prix et date de sortie sont forcément attendus.… https://t.co/FX4ZAkVOhE
0,1305455127462019073,fr,2020-09-14 10:35:31,"La rumeur d’une fusion du #PlaystationPlus et du #PlaystationNow commence à prendre de l’ampleur, es-ce que ce sera… https://t.co/ZGq1IyVGn3"
0,1305454733755322368,fr,2020-09-14 10:33:57,"La technique c'est bien !
Des jeux, c'est mieux :)
#playstation5 #XboxSeriesS #XboxSeriesX"
0,1305449740344188928,fr,2020-09-14 10:14:06,"Un joueur Xbox Series S parmi ses potes sur #PlayStation5 
@Joueur_enerve https://t.co/YKEhPaAYeA"
0,1305438732628168706,fr,2020-09-14 09:30:22,"Laissez-nous rêver... 🤩

C'est la période idéale à J-2 du #Playstation5Showcase ... Je vous ferai part de mes prédi… https://t.co/EJdxzI9wF1"
0,1305438640495972352,fr,2020-09-14 09:30:00,Semaine tech 💻 Ce mardi 15/09 c’est la Keynote #AppleEvent et ce mercredi 16/09 c’est l’événement #PlayStation5  🖲 https://t.co/AeDI91JGSE
0,1305434463875334145,fr,2020-09-14 09:13:24,"Il reste : 2 jours 10 heures 46 minutes avant le Showcase de la #PlayStation5 ! 

Je répète, il reste seulement 2 j… https://t.co/1utmOoVZKO"
0,1305430026922455040,fr,2020-09-14 08:55:46,"Planning de cette semaine, on oublie pas le conférence de la #PlayStation5 mercredi !!
Pas d'excuse pour ne pas êtr… https://t.co/x94NqWGx6Q"
0,1305425798048948226,fr,2020-09-14 08:38:58,Dernière ligne droite...#PS5 #PlayStation5 #Popkult https://t.co/aCax9jFAmc
